profile_id,name,gender,age,country_iso2,country,city,state_province,latitude,longitude,occupation,education,height_cm,religion,languages,interests,bio,verification_status,premium_status,last_active_at
843d1945a73c9dce,Cairo,female,50,FM,Micronesia,Weno,03,7.44648,151.84135,Plant Operator,Academy of Arts in Banská Bystrica,171,Ua Dab (Indigenous Religion Of The Hmong People),Dutch|Extremaduran,Sailing|Judo|Scrabble|Karate,"Active and easygoing, plant operator, and happiest around sailing, judo, and city breaks. Looking for a lasting partnership with someone who values shared purpose and emotional maturity.",verified,standard,2026-05-31T16:26:35.829Z
789a66b5c9d9be0e,Fran,male,24,HR,Croatia,Dubrovnik,03,42.64125,18.10909,Forester,Ordu University,176,Orthodox Judaism,Soninke,Football|Basketball|Cycling|Scrabble|Sailing|Baseball,"Usually planning my week around football, quiet staycations, and time with people I care about. I appreciate kindness, emotional maturity, and relationships that grow with patience.",verified,premium,2026-06-19T23:52:30.869Z
b6620dc34101dc9f,Hang,female,38,AO,Angola,Quissecula,06,-11.39223,15.09201,Desktop Publisher,Institut Supérieur de Management et de Technologie (MATCI),167,Hungarian Polytheism,Swahili,Skiing|Basketball|Scrabble|Hiking|Aikido|Snowboarding,"Usually planning my week around skiing, coastal weekends, and time with people I care about. I appreciate kindness, emotional maturity, and relationships that grow with patience.",verified,standard,2026-06-24T22:26:57.168Z
b70d6251d3de8ee9,Vivian,female,53,LK,Sri Lanka,Chilaw,32,7.57583,79.79528,Athlete,Norwich University,176,Thai Dhammayuttika Nikaya,Umbundu,Volleyball|Canoeing|Taekwondo|Folk,"Usually planning my week around volleyball, new restaurants, and time with people I care about. I appreciate honesty, shared purpose, and relationships that grow with patience.",pending,standard,2026-05-15T12:24:46.265Z
5e364df8dc2245ac,Esperanza,female,32,GQ,Equatorial Guinea,San Antonio de Palé,03,-1.4068,5.63198,Medical Laboratory Technician,Moscow Power Engineering Institute (Technical University),162,Happy Science,Luxembourgish|Rwa|Somali,Scrabble|Baseball|Aikido|Running|Folk|Basketball,"Usually planning my week around scrabble, cultural festivals, and time with people I care about. I appreciate kindness, meaningful conversations, and relationships that grow with patience.",verified,standard,2026-06-24T11:33:20.162Z
d9f84544c38defb3,Jaevon,male,33,SD,Sudan,Ad-Damir,53,17.59898,33.97205,Dental Laboratory Technician,National Institute of Technology Delhi,193,Plurationalism,Kanuri|Novial|Portuguese,Volleyball|Basketball|Swimming|Cycling|Golf|Running,"I work in dental laboratory technician and make time for volleyball, basketball, and good conversation. Here to meet someone intentional, kind, and ready for a calm, loyal kind of love.",verified,standard,2026-05-23T03:58:32.246Z
8ed5f871cea8858e,Michail,male,26,BY,Belarus,Sharkovshchina,07,55.36807,27.46971,Information Clerk,Pokhara University,194,Greek Orthodox,Tsimshian|Gbaya,Aikido|Surfing|Canoeing|Judo|Sailing,"Usually planning my week around aikido, city breaks, and time with people I care about. I appreciate steady communication, emotional maturity, and relationships that grow with patience.",verified,standard,2026-05-28T19:35:56.535Z
14ab4f9a95a847bf,Selma,female,21,SV,El Salvador,Apastepeque,12,13.66667,-88.78333,Bartender,Tamil Nadu Dr. Ambedkar Law University,164,Falun Gong,Nyasa Tonga,Scrabble|Golf|Karate|Baseball|Football|Hiking,"Usually planning my week around scrabble, cultural festivals, and time with people I care about. I appreciate honesty, shared purpose, and relationships that grow with patience.",verified,standard,2026-05-24T10:39:42.131Z
e4e10caae41adcfb,Emely,female,34,AW,Aruba,Tanki Leendert,00,12.53914,-70.02004,Boilermaker,Chuo University,155,Neo-Confucianism,Sena,Judo|Swimming|Hiking|Basketball,"Usually planning my week around judo, quiet staycations, and time with people I care about. I appreciate faithfulness, meaningful conversations, and relationships that grow with patience.",verified,standard,2026-06-23T08:07:18.706Z
1590af86d690e55e,Davy,male,49,AX,Åland Islands,Mariehamn,211,60.09726,19.93481,Licensed Vocational Nurse,Showa University,168,Inuit Mythology,Atsam|French,Football|Scrabble|Judo|Kayaking,"I work in licensed vocational nurse and make time for football, scrabble, and good conversation. Here to meet someone intentional, kind, and ready for a lasting partnership.",verified,standard,2026-06-16T09:09:09.949Z
61f1813e5b196c6c,Helmi,female,39,FI,Finland,Suutarila,01,60.27996,25.01759,Foreign Literature Teacher,Universidad Francisco de Aguirre,159,Armenian Neopaganism,Spanish,Folk|Hiking|Skiing|Basketball|Golf,"Usually planning my week around folk, national parks, and time with people I care about. I appreciate emotional maturity, faithfulness, and relationships that grow with patience.",verified,standard,2026-06-26T13:17:36.911Z
6bd0dcb0cde894b3,Tamikka,female,29,KE,Kenya,Kiambu,22,-1.17139,36.83556,General Practitioner,Ecole Nationale Supérieure de Chimie et de Physique de Bordeaux,161,Native American Church,Old Irish|Amharic|Waray,Kayaking|Skiing|Hiking|Boxing,"Usually planning my week around kayaking, quiet staycations, and time with people I care about. I appreciate steady communication, honesty, and relationships that grow with patience.",verified,standard,2026-06-10T04:35:00.230Z
5b503bee7fbe0aa6,Vusal,male,32,AZ,Azerbaijan,Aghstafa,05,41.11889,45.45389,Financial Examiner,Universitas Ibn Chaldun Jakarta,166,Unification Church,Langi,Basketball|Baseball|Skiing|Kayaking|Judo|Hiking,"Usually planning my week around basketball, road trips, and time with people I care about. I appreciate kindness, emotional maturity, and relationships that grow with patience.",verified,standard,2026-06-13T20:09:29.863Z
71e4ee61f33bbf6a,Ander,male,54,BS,Bahamas,Port Nelson,49,23.64967,-74.84157,Ship Captain,Tomas Bata University in Zlin,194,Anabaptists,Sumerian|Kenyang|NʼKo,Swimming|Surfing|Canoeing|Sailing|Skiing|Cycling,"Usually planning my week around swimming, road trips, and time with people I care about. I appreciate faithfulness, laughter, and relationships that grow with patience.",verified,standard,2026-05-14T18:54:26.356Z
6c9b8554c909671d,Shon,female,28,SL,Sierra Leone,Freetown,04,8.48714,-13.2356,Cashier,Universidad de Valparaiso,160,Svatantrika,Konkani|Hawaiian,Sailing|Volleyball|Cycling|Golf|Snowboarding,"Family-oriented professional, cashier, and happiest around sailing, volleyball, and new restaurants. Looking for a lasting partnership with someone who values emotional maturity and kindness.",verified,standard,2026-06-18T08:59:18.182Z
6764c215c4f32ea8,Lamaya,female,24,SO,Somalia,Waajid,01,3.80958,43.24627,Architectural Drafter,Saint Paul University,159,Elcesaites,Tyap|Kawi|Ndonga,Folk|Sailing|Running|Baseball,"Active and easygoing, architectural drafter, and happiest around folk, sailing, and new restaurants. Looking for a lasting partnership with someone who values emotional maturity and steady communication.",pending,standard,2026-05-21T10:23:46.128Z
96125a5a26abb8bf,Alley,female,44,LK,Sri Lanka,Hatton,29,6.8916,80.5955,Title Searcher,Asansol Engineering College,162,Shafi'I,Tamashek,Scrabble|Basketball|Sailing|Golf|Snowboarding,"Usually planning my week around scrabble, city breaks, and time with people I care about. I appreciate kindness, laughter, and relationships that grow with patience.",verified,standard,2026-06-20T06:46:09.621Z
b7d2a5d6618fff05,Kennia,female,43,SC,Seychelles,Port Glaud,27,-4.66256,55.41841,Compliance Officer,Fachhochschule Hamburg,168,Germanic Neopaganism,Capiznon|Soga|Tornedalen Finnish,Boxing|Climbing|Kayaking|Aikido|Golf,"Kind-hearted creative, compliance officer, and happiest around boxing, climbing, and quiet staycations. Looking for a lasting partnership with someone who values laughter and honesty.",verified,premium,2026-06-06T08:42:33.366Z
6f5b48e778e777dd,Eva,female,27,EE,Estonia,Viljandi,20,58.36319,25.59159,Title Searcher,University of the Immaculate Conception,159,Sabbateans,Lithuanian,Canoeing|Baseball|Basketball|Swimming,"I work in title searcher and make time for canoeing, baseball, and good conversation. Here to meet someone intentional, kind, and ready for a lasting partnership.",pending,premium,2026-06-08T17:38:50.455Z
9937cc5bb6a8ffb6,Amor,female,36,WF,Wallis and Futuna,Alo,98611,-14.31096,-178.11094,Dressmaker,Soonchunhyang University,163,Christian Identity,Kako,Aikido|Scrabble|Lacrosse|Climbing|Judo|Tennis,"Active and easygoing, dressmaker, and happiest around aikido, scrabble, and national parks. Looking for someone ready to build intentionally with someone who values laughter and steady communication.",verified,premium,2026-05-23T14:28:57.114Z
650bb6e60f1beb48,Terrika,female,30,TD,Chad,Goré,09,8.65,16.51667,Mechanical Door Repairer,Joetsu University of Education,161,Keetoowah Nighthawk Society,Jutish|Ingrian,Golf|Judo|Aikido|Hiking,"Usually planning my week around golf, national parks, and time with people I care about. I appreciate shared purpose, steady communication, and relationships that grow with patience.",verified,standard,2026-05-13T15:43:45.667Z
6ba438ae51d19dde,Fraidy,female,22,US,United States,Moreno Valley,CA,33.93752,-117.23059,New Accounts Clerk,Punjabi University Patiala,181,Sahajdhari,Frafra,Karate|Sailing|Football|Cycling,"Usually planning my week around karate, national parks, and time with people I care about. I appreciate shared purpose, meaningful conversations, and relationships that grow with patience.",pending,standard,2026-06-22T09:00:28.133Z
89ab837a60541a44,JosÉ,male,26,GQ,Equatorial Guinea,Malabo,04,3.75578,8.78166,Physics Teacher,Reykjavík University,186,Tantra,Veps,Boxing|Tennis|Sailing|Hiking,"Usually planning my week around boxing, national parks, and time with people I care about. I appreciate meaningful conversations, shared purpose, and relationships that grow with patience.",pending,standard,2026-05-31T18:07:09.760Z
6b096d2d050d2ff2,Tiffay,female,26,MH,Marshall Islands,Ujae,390,8.93218,165.76416,Photographic Process Worker,Crimea State Medical University,166,Ohlone Mythology,Emilian,Karate|Aikido|Canoeing|Surfing,"Grounded optimist, photographic process worker, and happiest around karate, aikido, and new restaurants. Looking for a calm, loyal kind of love with someone who values meaningful conversations and shared purpose.",verified,standard,2026-06-22T08:45:10.339Z
7695998d2a0f8395,Gavon,male,36,GW,Guinea-Bissau,Reino de Bandim,00,11.85,-15.6,Claims Investigator,"NABA - Nuova Accademia di Belle Arti, Milan",188,Eskimo Religion,Breton|Waray,Folk|Surfing|Lacrosse|Sailing|Climbing,"Usually planning my week around folk, quiet staycations, and time with people I care about. I appreciate shared purpose, kindness, and relationships that grow with patience.",verified,standard,2026-05-17T04:55:27.725Z
333120088285dc23,Kree,male,46,TT,Trinidad and Tobago,Diego Martin,DMN,10.72081,-61.56616,Geographer,CCS Haryana Agricultural University,173,Liberal Movements Within Islam,Neapolitan|Rombo|Manx,Karate|Lacrosse|Scrabble|Boxing|Judo,"I work in geographer and make time for karate, lacrosse, and good conversation. Here to meet someone intentional, kind, and ready for someone ready to build intentionally.",verified,standard,2026-05-14T17:51:47.406Z
3ab9440e27f170c6,Darrin,male,21,LS,Lesotho,Mafeteng,13,-29.82299,27.23744,Tile Setter,Russian Academy of Arts,171,Yarsani,Tigrinya,Scrabble|Aikido|Cycling|Folk|Scrabble,"Usually planning my week around scrabble, city breaks, and time with people I care about. I appreciate steady communication, shared purpose, and relationships that grow with patience.",pending,standard,2026-05-27T05:42:57.921Z
7afeea6eab5224e2,Alisa,female,29,BY,Belarus,Svislach,03,53.03431,24.09717,Social Worker,Universidade Tecnológica Federal do Paraná,175,Bagnolians,Tajik,Climbing|Snowboarding|Canoeing|Scrabble,"Usually planning my week around climbing, national parks, and time with people I care about. I appreciate meaningful conversations, shared purpose, and relationships that grow with patience.",verified,standard,2026-06-14T05:23:01.356Z
d20116ad50b445de,Mohamad,male,21,TO,Tonga,Nuku‘alofa,02,-21.13683,-175.20114,Health Information Technician,Instituto Tecnológico de León,163,Continental Germanic Religion,Khmer|Esperanto,Sailing|Cycling|Canoeing|Basketball,"Usually planning my week around sailing, city breaks, and time with people I care about. I appreciate faithfulness, honesty, and relationships that grow with patience.",pending,standard,2026-06-06T11:26:17.100Z
4eb5f0d74d62b8ee,Remus,male,42,MU,Mauritius,Fond du Sac,16,-20.04732,57.584,Ship Loader,Ozarka College,194,Hinduism In Indonesia,Egyptian Arabic|Ukrainian|Votic,Karate|Skiing|Canoeing|Climbing|Golf|Football,"Quietly ambitious, ship loader, and happiest around karate, skiing, and quiet staycations. Looking for a relationship rooted in trust with someone who values meaningful conversations and emotional maturity.",pending,standard,2026-06-25T18:34:57.284Z
3c6a7e296303b7f6,Jhene,female,39,PM,Saint Pierre and Miquelon,Miquelon,97501,47.0975,-56.38139,Social Work Teacher,Rainy River Community College,156,"Zhengyi Dao (""Way Of The Right Oneness"")",Chuukese,Cycling|Tennis|Snowboarding|Volleyball|Surfing|Boxing,"Weekend explorer, social work teacher, and happiest around cycling, tennis, and quiet staycations. Looking for a serious relationship with someone who values shared purpose and faithfulness.",verified,standard,2026-06-14T21:04:13.498Z
6749bd379e7c2c11,Nazar,male,34,TO,Tonga,'Ohonua,EU,-21.34135,-174.95656,Bus Mechanic,Universidad Salesiana de Bolivia,164,Jeung San Do,Kumyk|Santali|Zulu,Tennis|Canoeing|Football|Volleyball,"Usually planning my week around tennis, road trips, and time with people I care about. I appreciate laughter, faithfulness, and relationships that grow with patience.",verified,standard,2026-06-14T20:41:33.995Z
de7ab40606806f79,Georgios,male,25,GR,Greece,Ágios Nikólaos,ESYE43,35.19106,25.71524,Electrical Engineer,Southwestern Indian Polytechnic Institute,168,Illuminates Of Thanateros,Goan Konkani,Volleyball|Judo|Karate|Cycling,"Weekend explorer, electrical engineer, and happiest around volleyball, judo, and road trips. Looking for a lasting partnership with someone who values honesty and faithfulness.",verified,standard,2026-05-30T13:57:17.056Z
9f5a3c592def14ef,Mohammad,male,43,AT,Austria,Judenburg,06,47.16667,14.66667,Credit Analyst,"Ecole Nationale Supérieure en Electrotechnique, Electronique, Informatique et Hydraulique de Toulouse",185,Palo,Norwegian,Golf|Scrabble|Aikido|Lacrosse,"Coffee lover, credit analyst, and happiest around golf, scrabble, and cultural festivals. Looking for a calm, loyal kind of love with someone who values kindness and laughter.",verified,standard,2026-06-07T07:07:54.788Z
652aed3bbab0ec71,Anvit,male,25,TL,Timor-Leste,Aileu,AL,-8.72806,125.56639,Boring Machine Tool Tender,CODE University of Applied Sciences Berlin,162,Moorish Science Temple Of America,Corsican,Running|Swimming|Boxing|Basketball|Tennis|Football,"Quietly ambitious, boring machine tool tender, and happiest around running, swimming, and coastal weekends. Looking for a calm, loyal kind of love with someone who values honesty and faithfulness.",pending,standard,2026-05-30T18:50:06.853Z
89381ce8a2c23c5a,Reina,female,30,AL,Albania,Librazhd,43,41.17944,20.315,Hand Grinding Worker,Hansei University,166,Obeah,Braj|Emilian,Skiing|Tennis|Football|Baseball|Folk,"Usually planning my week around skiing, coastal weekends, and time with people I care about. I appreciate faithfulness, emotional maturity, and relationships that grow with patience.",pending,standard,2026-06-05T04:50:13.567Z
5912125ff3b77028,Hawa,female,46,ML,Mali,Mahina,03,13.9044,-10.0986,Medical Equipment Preparer,Arkansas Northeastern College,154,Cherokee Mythology,Seri,Folk|Cycling|Canoeing|Swimming|Karate,"Quietly ambitious, medical equipment preparer, and happiest around folk, cycling, and quiet staycations. Looking for a relationship rooted in trust with someone who values meaningful conversations and shared purpose.",verified,standard,2026-05-13T02:28:03.169Z
c24f2ad9259131f9,Lucas,male,49,GS,South Georgia,Grytviken,00,-54.28111,-36.5092,Mental Health Counselor,Little Big Horn College,177,Yihewani,Saterland Frisian,Hiking|Volleyball|Scrabble|Canoeing|Lacrosse,"Usually planning my week around hiking, road trips, and time with people I care about. I appreciate emotional maturity, honesty, and relationships that grow with patience.",verified,standard,2026-05-22T00:20:56.094Z
